name,rating,courses,fees_range,package,city
KL (Deemed to be University),4.6,8,1600000 - 15600000,4.5 - 6.6 LPA,Guntur
"All India Institute of Medical Sciences, Delhi",4.5,142,400 - 61000,0.9 - 20 LPA,Delhi
NIT Delhi - National Institute of Technology,3.7,16,2100000 - 500000,14.75 - 15 LPA,Delhi
"Faculty of Engineering, Dayalbagh Educational Institute",4,24,113000 - 507000,2.24 - 5 LPA,Agra
Ramaiah Institute of Technology,4.2,58,1200000 - 8900000,2.16 - 6.15 LPA,Bangalore
Kalasalingam Academy of Research and Education,3.9,67,80000 - 600000,4.25 - 6.84 LPA,Virudhunagar
"Centurion University of Technology and Management, Bhubaneswar Campus",3.9,87,285000 - 600000,3 - 3.6 LPA,Bhubaneswar
NIT Patna - National Institute of Technology,3.9,58,45000 - 6300000,6 - 10 LPA,Patna
IIT Patna - Indian Institute of Technology,4.3,80,40000 - 800000,11.5 - 20 LPA,Patna
Alagappa University,4.2,156,2000 - 2600000,1.44 - 2.46 LPA,Karaikudi
MGU Kerala - Mahatma Gandhi University,4.1,94,19000 - 1400000,0.96 - 5 LPA,Kottayam
"Christian Medical College, Vellore",4.6,143,300 - 2700000,1.55 - 10.51 LPA,Vellore
University of Mysore,3.7,206,48000 - 2400000,1.25 - 3.75 LPA,Mysore
SR University,4.1,33,1100000 - 900000,3.6 - 4.5 LPA,Warangal
University of Madras,3.9,203,500 - 400000,3.6 - 4.2 LPA,Chennai
JSS Academy of Higher Education and Research,4,22,871000 - 300000,9.54 - 10.98 LPA,Mysore
Rashtrasant Tukadoji Maharaj Nagpur University,3.6,273,2000 - 1800000,3 - 9.6 LPA,Nagpur
Central University of Kashmir,3.7,44,16000 - 376000,2.4 - 8 LPA,Srinagar
Guwahati University - GU,3.9,131,24000 - 2300000,3.2 - 8.4 LPA,Guwahati
"Institute of Technology, Nirma University",4.2,26,4800000 - 7600000,6.17 - 9.59 LPA,Ahmedabad
"Babasaheb Bhimrao Ambedkar University (BBAU), Lucknow",3.5,77,2000 - 600000,3.44 - 8 LPA,Lucknow
"Cochin University of Science and Technology, Kochi",4.1,90,23000 - 8600000,2.5 - 5.73 LPA,Kochi
Sathyabama Institute of Science and Technology,3.8,97,18000 - 1200000,3.5 - 10 LPA,Chennai
IIT Bhubaneswar - Indian Institute of Technology,4.2,43,20000 - 8100000,6.25 - 22.14 LPA,Bhubaneswar
"Srinivasa Ramanujan Center, SASTRA",4.2,36,80000 - 6200000,3.3 - 7.5 LPA,Thanjavur
Datta Meghe Institute of Higher Education and Research (Deemed to be University),4.4,161,20000 - 13 Cr,4.68 - 21 LPA,Wardha
R.V. College of Engineering,4.2,34,1300000 - 4400000,6 - 8.5 LPA,Bangalore
"Faculty of Engineering and Technology, Jain Deemed-to-be University, Bangalore",4.1,54,3500000 - 19600000,5.15 - 7.78 LPA,Bangalore
"Mukesh Patel School of Technology Management and Engineering, NMIMS, Mumbai",4,21,4500000 - 25100000,6.57 - 8.5 LPA,Mumbai
PSGCT Coimbatore,4.4,67,35000 - 2500000,3.17 - 10.05 LPA,Coimbatore
National Institute of Foundry and Forge Technology,4.2,12,593000 - 3400000,4.25 - 5.05 LPA,Ranchi
IIST - Indian Institute of Space Science and Technology,4.1,26,1400000 - 6300000,8.9 - 10.64 LPA,Thiruvananthapuram
Sardar Patel Institute of Technology,4.2,14,2900000 - 6100000,7.5 - 8.5 LPA,Mumbai
University of Mumbai [MU],3.8,252,300 - 200000,4 - 15 LPA,Mumbai
"Sri Jayachamarajendra College of Engineering (SJCE Mysore), JSS STU",4.3,28,45000 - 3600000,6.5 - 7.2 LPA,Mysore
MIT-WPU,4,133,60000 - 17200000,2.65 - 7.5 LPA,Pune
Jamia Hamdard,3.7,103,30000 - 13800000,2.27 - 8 LPA,Delhi
Graphic Era Deemed to be University,4.1,107,41000 - 14800000,4.75 - 8 LPA,Dehradun
Guru Nanak Dev University,3.8,181,52000 - 10300000,3.5 - 7.7 LPA,Amritsar
"Sardar Vallabhbhai National Institute of Technology, Surat",4,56,45000 - 500000,6.5 - 8.01 LPA,Surat
Sri Ramachandra Institute of Higher Education and Research,4.5,155,15000 - 11 Cr,2.5 - 19.5 LPA,Chennai
Mahindra University,4.3,38,1700000 - 2400000,6.5 LPA,Hyderabad
NIT Raipur - National Institute of Technology,3.8,27,30000 - 6300000,4.8 - 9 LPA,Raipur
Government College of Technology (GCT),4.2,24,314000 - 200000,6 LPA,Coimbatore
UPES,4.4,52,25000 - 22900000,3.6 - 6.5 LPA,Dehradun
Sri Sairam Engineering College,4.2,22,35000 - 2500000,3.92 - 4.5 LPA,Chennai
Visvesvaraya Technological University,4.3,125,104000 - 1400000,3.65 - 3.73 LPA,Belgaum
"Silicon Institute of Technology, Bhubaneswar",4,16,2700000 - 600000,3.76 - 4.8 LPA,Bhubaneswar
Gujarat University,4.1,303,23000 - 7200000,4.81 - 9.76 LPA,Ahmedabad
Dr. D. Y. Patil Institute Of Technology,4.3,21,1100000 - 4100000,5.4 - 6.3 LPA,Pune
PAU - Punjab Agricultural University,3.8,76,342000 - 6500000,3.5 LPA,Ludhiana
Madurai Kamaraj University - MKU,3.7,46,84000 - 80000,2.15 - 2.88 LPA,Madurai
IIT Tirupati - Indian Institute of Technology,4.3,32,10000 - 800000,8.05 - 12.1 LPA,Chittoor
Rajalakshmi Engineering College,4.4,31,35000 - 200000,4.2 - 4.56 LPA,Chennai
Bharathidasan University,3.8,132,1000 - 2200000,1.54 - 2.4 LPA,Tiruchirappalli
Banasthali Vidyapith,4.2,121,21000 - 7900000,2.5 - 7.5 LPA,Jaipur
IIM Ahmedabad - Indian Institute of Management,4.6,9,1600000 - 31500000,30 - 36.26 LPA,Ahmedabad
"Kasturba Medical College, Manipal, Manipal Academy of Higher Education",4.7,66,1500000 - 79500000,8.88 - 15.6 LPA,Manipal
MANIT - Maulana Azad National Institute of Technology,4,55,60000 - 6300000,3.8 - 11 LPA,Bhopal
University of Jammu,3.3,16,32000 - 56000,5.6 LPA,Jammu
Bangalore University,4.1,124,21000 - 1600000,3.5 - 6 LPA,Bangalore
"Kasturba Medical College, Mangalore, Manipal Academy of Higher Education",4.5,48,1700000 - 63200000,6.8 - 15.6 LPA,Karnataka - Other
Periyar University,4.3,113,28000 - 71000,3 - 3.5 LPA,Salem
Shiv Nadar University (SNU),4.4,33,1400000 - 1600000,7.1 - 11.77 LPA,Greater Noida
IIM Bangalore - Indian Institute of Management,4.8,86,65000 - 24500000,30 - 31.5 LPA,Bangalore
BMS College of Engineering,4.2,53,647000 - 1600000,6.5 - 8.24 LPA,Bangalore
Sharda School of Engineering and Technology,3.8,74,100000 - 9200000,3.35 - 3.84 LPA,Greater Noida
Bharath Institute of Higher Education and Research (BIHER),4.1,116,90000 - 2000000,4 - 20 LPA,Chennai
"Postgraduate Institute of Medical Education and Research, Chandigarh",4.4,119,1000 - 19500000,7.53 - 17 LPA,Chandigarh
Christ University,4.3,167,30000 - 11900000,2.42 - 7.97 LPA,Bangalore
IIT Jammu - Indian Institute of Technology,4.3,28,60000 - 800000,16 - 18 LPA,Jammu
NIT Meghalaya - National Institute of Technology,3.8,16,695000 - 500000,8.16 - 9.45 LPA,Shillong
DIT University,3.8,102,1500000 - 12300000,4 - 4.5 LPA,Dehradun
"North Eastern Hill University, Shillong",3.7,105,17000 - 1600000,3 - 3.8 LPA,Shillong
NIT Srinagar - National Institute of Technology,3.8,38,45000 - 1000000,6 - 8.33 LPA,Srinagar
IIT Palakkad - Indian Institute of Technology,3.8,14,6000 - 800000,9 - 12 LPA,Palakkad
Pondicherry University,4.1,117,29000 - 2400000,2.5 - 4.3 LPA,Pondicherry
Indian Institute of Management Mumbai,4.5,5,6400000 - 12500000,21 - 34.1 LPA,Mumbai
University of Calicut,3.8,136,950 - 2200000,2.42 - 3.96 LPA,Calicut
Rabindranath Tagore University,3.6,102,12000 - 400000,3.2 - 5.04 LPA,Bhopal
St. John’s National Academy of Health Sciences,4.3,72,704000 - 36500000,2.4 - 12 LPA,Bangalore
"Pune Institute of Computer Technology, Society for Computer Technology and Research",4.1,17,1900000 - 3300000,6 - 7 LPA,Pune
Tamil Nadu Agricultural University,4.1,38,20000 - 3300000,3.62 LPA,Coimbatore
JIPMER Puducherry - Jawaharlal Institute of Postgraduate Medical Education and Research,4.7,133,130 - 466000,6 - 120 LPA,Pondicherry
Sri Venkateswara University,4.2,54,12000 - 235000,4.5 - 6 LPA,Tirupati
National Engineering College,4.2,19,35000 - 200000,3.2 - 3.6 LPA,Tamil Nadu - Other
Shoolini University,4.3,199,50000 - 9400000,2.1 - 4.8 LPA,Solan
SKCET - Sri Krishna College of Engineering and Technology,4.3,28,35000 - 2500000,4.86 - 5.5 LPA,Coimbatore
KGMU - King George's Medical University,4.5,82,464000 - 2500000,5 - 16 LPA,Lucknow
IIM Calcutta - Indian Institute of Management,4.7,46,2500000 - 3100000,20 - 31 LPA,Kolkata
"Jain Deemed-to-be University, Bangalore",3.8,60,– / –,5.15 - 7.78 LPA,Bangalore
NIT Agartala - National Institute of Technology,4.1,44,256000 - 500000,4.2 - 7 LPA,Agartala
Dayananda Sagar College Of Engineering,4.1,44,1200000 - 1700000,4.1 - 6.7 LPA,Bangalore
Jaypee Institute of Information Technology,3.8,37,1600000 - 13500000,5.25 - 7.6 LPA,Noida
IIIT Allahabad - Indian Institute of Information Technology,4.4,36,2900000 - 11 Cr,11.5 - 28 LPA,Allahabad
"Madras Medical College, Chennai",4.2,80,47000 - 1500000,3.6 - 10.2 LPA,Chennai
"Saveetha Engineering College, Chennai",4.2,38,35000 - 200000,3 - 4.5 LPA,Chennai
Heritage Institute of Technology,4.1,30,200000 - 3900000,3.8 - 4.2 LPA,Kolkata
XLRI Xavier School of Management,4.6,62,27000 - 31200000,2.3 - 30 LPA,Jamshedpur
IIM Kozhikode - Indian Institute of Management,4.4,33,3500000 - 20500000,25 - 26.5 LPA,Kozhikode
"Govind Ballabh Pant University of Agriculture and Technology, Pantnagar",3.7,93,60000 - 2400000,4.55 - 5.5 LPA,Uttarakhand - Other
"Yeshwantrao Chavan College of Engineering, Nagar Yuwak Shikshan Sanstha",3.8,35,2800000 - 6600000,4 - 4.5 LPA,Nagpur
Rajiv Gandhi Institute of Petroleum Technology,4.3,18,40000 - 1300000,5.1 - 7 LPA,Amethi
IIM Lucknow - Indian Institute of Management,4.5,59,938000 - 12600000,29 LPA,Lucknow
"Lakshmi Narain College of Technology, Bhopal",4,23,1200000 - 5300000,3 - 4.7 LPA,Bhopal
National Institute of Mental Health and Neurosciences,4.2,66,95000 - 1600000,5,Bangalore
"Vignan's Foundation for Science, Technology and Research",4.1,44,1200000 - 10400000,3.26 - 7.05 LPA,Guntur
"Symbiosis Institute of Business Management, Symbiosis International, Pune",4.4,8,42000 - 22200000,20.8 LPA,Pune
NIT - Narula Institute of Technology,4.2,38,54000 - 4100000,5 - 6.3 LPA,Kolkata
IIM Indore - Indian Institute of Management,4.4,52,56000 - 3500000,23.6 - 24.09 LPA,Indore
"Sri Sathya Sai Institute of Higher Learning, Anantapur",4.4,21,12,3.5,Anantapur
Mizoram University,3.5,38,6000 - 1100000,1.8 - 5.25 LPA,Aizawl
"Maharishi Markandeshwar University, Mullana",4.1,153,30000 - 12 Cr,2.91 - 14.4 LPA,Ambala
Professor Jayashankar Telangana State Agricultural University,4.2,21,352000 - 1100000,3.8,Hyderabad
"Mahatma Gandhi Medical College and Research Institute, Sri Balaji Vidyapeeth",4.5,65,20000 - 11 Cr,1.02 - 14.28 LPA,Pondicherry
IIT Bhilai - Indian Institute of Technology,4.1,21,25000 - 900000,9.5 - 14 LPA,Bhilai
Dwarkadas J. Sanghvi College of Engineering,4.1,18,2400000 - 7200000,5.5 - 6 LPA,Mumbai
Maharaja Agrasen Institute of Technology,3.7,16,3300000 - 5500000,4 - 8.15 LPA,Delhi
Anurag University,4.2,41,100000 - 10400000,3.2 - 4.4 LPA,Hyderabad
Sanjay Gandhi Postgraduate Institute of Medical Sciences,4,52,27000 - 2200000,9 - 26.5 LPA,Lucknow
AIIMS Rishikesh - All India Institute of Medical Sciences,4.9,164,650 - 200000,12 - 21.6 LPA,Rishikesh
NIT Goa - National Institute of Technology,3.7,10,75000 - 500000,8 LPA,Ponda
Vel Tech Rangarajan Dr. Sagunthala R and D Institute of Science and Technology,4,80,20000 - 1000000,2.5 - 5 LPA,Chennai
BMS Institute of Technology and Management,4.1,16,1500000 - 2600000,3.36 - 4.05 LPA,Bangalore
Avinashilingam Institute for Home Science and Higher Education for Women,4.1,88,3000 - 3300000,2.57 - 5.5 LPA,Coimbatore
"NMIMS School of Business Management, Mumbai",4.2,11,50000 - 2400000,19.2 LPA,Mumbai
AIIMS Jodhpur - All India Institute of Medical Sciences,4.6,60,21000 - 241000,4.5 - 13.21 LPA,Jodhpur
GMR Institute of Technology - GMRIT,4,25,90000 - 300000,3.6 - 4.6 LPA,Andhra Pradesh - Other
"SRM Dental College, Ramapuram Campus, Chennai",4.8,11,10500000 - 3900000,4.2 - 5.2 LPA,Chennai
Walchand College of Engineering,4.2,22,18000 - 3400000,4.5 - 6 LPA,Sangli
Vardhman Mahavir Medical College,4.4,39,30000 - 1600000,1 - 1.05 LPA,Delhi
Noida Institute of Engineering and Technology (NIET),4.1,44,90000 - 5900000,4.04 - 4.52 LPA,Greater Noida
IIM Rohtak - Indian Institute of Management,4.3,23,45000 - 33900000,15 - 17.5 LPA,Rohtak
Dr. Babasaheb Ambedkar Marathwada University,4.1,231,239 - 1600000,1.1 - 3 LPA,Aurangabad
Bannari Amman Institute of Technology,4.3,38,35000 - 200000,4.3,Erode
"S.P. Jain Institute of Management and Research, Mumbai",4.2,22,25000 - 22100000,18 - 30.5 LPA,Mumbai
Manonmaniam Sundaranar University (MSUNIV),3.6,35,14000 - 80000,3 LPA,Tamil Nadu - Other
KLE Technological University,4.3,23,1200000 - 3100000,3.5 - 11.61 LPA,Hubli
Management Development Institute,4.4,8,3900000 - 24700000,24.06 - 26.7 LPA,Gurgaon
IIM Raipur - Indian Institute of Management,4.1,20,3600000 - 14200000,14.8 - 16.95 LPA,Raipur
Sree Chitra Tirunal Institute for Medical Sciences and Technology,NULL,24,1700000 - 200000,5.04 - 26.4 LPA,Thiruvananthapuram
Yenepoya (Deemed to be university),4.4,73,30000 - 97500000,1.5 - 12 LPA,Mangalore
"All India Institute of Medical Sciences, Bhubaneswar",4.6,51,1000 - 1100000,12.4 - 15 LPA,Bhubaneswar
CMR Institute of Technology,4.2,13,1100000 - 4400000,3.91 - 4.5 LPA,Hyderabad
Kuvempu University,4.1,90,206000 - 1200000,2.6 - 2.8 LPA,Shimoga
IIITDM Jabalpur - Indian Institute of Information Technology Design and Manufacturing,4.2,21,1100000 - 5700000,8.5 - 11 LPA,Jabalpur
Central University of Tamil Nadu,4.3,46,48000 - 27000,2.4 - 3.46 LPA,Thanjavur
Burdwan University,4.3,129,12000 - 96000,1.52 - 2.39 LPA,Bardhaman
Coimbatore Institute of Technology,4,30,35000 - 3400000,4.5 LPA,Coimbatore
Institute of Infrastructure Technology Research and Management,3.8,8,59,3.36 LPA,Ahmedabad
JIS College of Engineering,4.1,31,1500000 - 5500000,4.5 - 5.7 LPA,Kolkata
MLR Institute of Technology,4.3,24,1200000 - 4600000,3.94 - 4.5 LPA,Hyderabad
Panimalar Engineering College,3.8,16,35000 - 200000,4 - 6.38 LPA,Chennai
Sharda University,3.5,20,100000 - 9200000,3 - 4.25 LPA,Greater Noida
NIT Manipur - National Institute of Technology,3.3,14,30000 - 500000,6.25 - 7.5 LPA,Imphal
"National Institute of Pharmaceutical Education and Research, Guwahati",5,8,19,4.5 LPA,Changsari
Chandigarh Group of Colleges,4.2,68,15000 - 900000,5.58 - 6.5 LPA,Chandigarh
IIT Dharwad - Indian Institute of Technology,4.1,21,10000 - 800000,14.13 LPA,Dharwad
Shri G. S. Institute of Technology and Science,3.9,48,20000 - 3800000,4.06 - 5.3 LPA,Indore
"Dr. D.Y. Patil Vidyapeeth, Pune",3.6,26,1300000 - 22500000,3.5 - 8.5 LPA,Pune
IIM Udaipur - Indian Institute of Management,4.2,5,1000000 - 2000000,16.5 - 20 LPA,Udaipur
Galgotias University,4,279,50000 - 600000,1.9 - 4.1 LPA,Greater Noida
"University of Agricultural Sciences, Bangalore",4,32,12000 - 505000,5 - 75 LPA,Bangalore
"KIMS - Krishna Institute of Medical Sciences, Secunderabad",4.2,33,23,4.5,Hyderabad
Guru Nanak Institute of Technology - GNIT,4.3,19,54000 - 4700000,4.5 LPA,Kolkata
Institute of Post Graduate Medical Education and Research,4.7,67,8000 - 1200000,5.41 - 8.4 LPA,Kolkata
"National Institute of Pharmaceutical Education and Research, Raebareli",5,5,– / –,4.13 LPA,Lucknow
Karunya Institute of Technology and Sciences,4,70,1200000 - 11100000,0.25 - 4.1 LPA,Coimbatore
Dr. M.G.R. Educational and Research Institute,3.7,129,40000 - 800000,5.6 - 12 LPA,Chennai
M S Ramaiah Medical College,4.3,39,3100000 - 21400000,6.6 - 12.4 LPA,Bangalore
Maharshi Dayanand University,3.9,104,800 - 1800000,3.25 - 8 LPA,Rohtak
IIM Kashipur - Indian Institute of Management,4.4,23,60000 - 17500000,14.82 LPA,Kashipur
Visva Bharati University,4.4,205,840 - 30000,3.6 - 5.4 LPA,West Bengal - Other
"Institute of Engineering and Technology, GLA University",4.1,37,2800000 - 8900000,5 - 5.5 LPA,Mathura
"Cummins College of Engineering for Women, Pune",4.2,12,300000 - 6100000,7.25 - 7.6 LPA,Pune
Utkal University,4.1,66,33000 - 3200000,1.8 - 4 LPA,Bhubaneswar
C. V. Raman Global University,4,86,22000 - 7300000,3.45 - 5 LPA,Bhubaneswar
"International Institute of Information Technology, Bhubaneswar",3.9,6,2800000 - 700000,7 - 8 LPA,Bhubaneswar
"College of Engineering, Sri Venkateswara University",3.9,22,378000 - 814000,4.5 - 6 LPA,Tirupati
B.N.M Institute of Technology,3.6,15,1200000 - 3300000,3.8 - 4.5 LPA,Bangalore
BVRIT Hyderabad College of Engineering for Women,4.6,6,1100000 - 4800000,6.5 LPA,Hyderabad
NIT Nagaland - National Institute of Technology,4,14,45000 - 500000,9 - 10.5 LPA,Dimapur
"Sri Venkateswara College of Engineering, Kanchipuram",4.3,34,50000 - 4300000,4.25 - 5.25 LPA,Chennai
